"“Remember that the happiest people are not those getting more, but those giving more.”– H. Jackson Brown, Jr.","– H. Jackson Brown, Jr."
"“It is our choices, that show what we truly are, far more than our abilities.”– J. K Rowling",– J. K Rowling
“Only put off until tomorrow what you are willing to die having left undone.” – Pablo Picasso,– Pablo Picasso
"“If you want to be happy, be.” – Leo Tolstoy",– Leo Tolstoy
“Many of life’s failures are people who did not realize how close they were to success when they gave up.” – Thomas A. Edison,– Thomas A. Edison
"“If you want to live a happy life, tie it to a goal, not to people or things.” – Albert Einstein",– Albert Einstein
"“Success is just a war of attrition. Sure, there’s an element of talent you should probably possess. But if you just stick around long enough, eventually something is going to happen.” – Dax Shepard",– Dax Shepard
“The opposite of love is not hate; it’s indifference.” – Elie Wiesel,– Elie Wiesel
"“The good news is that the moment you decide that what you know is more important than what you have been taught to believe, you will have shifted gears in your quest for abundance. Success comes from within, not from without.” – Elie Wiesel",– Elie Wiesel
“I never knew how to worship until I knew how to love.” – Henry Ward Beecher,– Henry Ward Beecher
"“Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world.” – Harriet Tubman",– Harriet Tubman
"“It is impossible to escape the impression that people commonly use false standards of measurement — that they seek power, success and wealth for themselves and admire them in others, and that they underestimate what is of true value in life.” – Sigmund Freud",– Sigmund Freud
“A friend is someone who gives you total freedom to be yourself.” – Jim Morrison,– Jim Morrison
"“Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world.” – Harriet Tubman",– Harriet Tubman
“Never let the fear of striking out keep you from playing the game.” – Babe Ruth,– Babe Ruth
"“Live in the sunshine, swim the sea, drink the wild air.” – Ralph Waldo Emerson",– Ralph Waldo Emerson
“Life is trying things to see if they work.”– Ray Bradbury,– Ray Bradbury
"“Success in business requires training and discipline and hard work. But if you’re not frightened by these things, the opportunities are just as great today as they ever were.” – David Rockefeller",– David Rockefeller
"“The No. 1 reason people fail in life is because they listen to their friends, family, and neighbors.” – Napoleon Hill",– Napoleon Hill
"“Your time is limited, so don’t waste it living someone else’s life. Don’t be trapped by dogma – which is living with the results of other people’s thinking.” – Steve Jobs",– Steve Jobs
“Success is how high you bounce when you hit bottom.” – George S. Patton,– George S. Patton
"“You will face many defeats in life, but never let yourself be defeated.” – Maya Angelou",– Maya Angelou
“May you live all the days of your life.” – Jonathan Swift,– Jonathan Swift
"“Success is not final, failure is not fatal: it is the courage to continue that counts.” – Winston Churchill",– Winston Churchill
“You’re not obligated to win. You’re obligated to keep trying. To the best you can do everyday.” – Jason Mraz,– Jason Mraz
"“If life were predictable it would cease to be life, and be without flavor.” – Eleanor Roosevelt",– Eleanor Roosevelt
"“If you don’t design your own life plan, chances are you’ll fall into someone else’s plan. And guess what they have planned for you? Not much.” – Jim Rohn",– Jim Rohn
“The question isn’t who is going to let me; it’s who is going to stop me.” – Ayn Rand,– Ayn Rand
"“The three great essentials to achieve anything worthwhile are, first, hard work; second, stick-to-itiveness; third, common sense.” – Thomas A. Edison",– Thomas A. Edison
"“The successful warrior is the average man, with laser-like focus.” – Bruce Lee",– Bruce Lee
"“A man is a success if he gets up in the morning and gets to bed at night, and in between he does what he wants to do.” – Bob Dylan",– Bob Dylan
"“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.” – Bil Keane",– Bil Keane
“Life isn’t about finding yourself. Life is about creating yourself.” – George Bernard Shaw,– George Bernard Shaw
"“The whole secret of a successful life is to find out what is one’s destiny to do, and then do it.” – Henry Ford",– Henry Ford
"“Success? I don’t know what that word means. I’m happy. But success, that goes back to what in somebody’s eyes success means. For me, success is inner peace. That’s a good day for me.” – Denzel Washington",– Denzel Washington
“A kiss is a lovely trick designed by nature to stop speech when words become superfluous.” – Ingrid Bergman,– Ingrid Bergman
“You miss 100 percent of the shots you never take.” – Wayne Gretzky,– Wayne Gretzky
"“In order to write about life first you must live it.” – Ernest Hemingway




“Life itself is the most wonderful fairy tale.” – Hans Christian Andersen
","– Ernest Hemingway
"
“Do not go where the path may lead; go instead where there is no path and leave a trail.” – Ralph Waldo Emerson,– Ralph Waldo Emerson
"“We are what we repeatedly do; excellence, then, is not an act but a habit.” – Aristotle",– Aristotle
“Always forgive your enemies; nothing annoys them so much.” – Oscar Wilde,– Oscar Wilde
"“The big lesson in life, baby, is never be scared of anyone or anything.” – Frank Sinatra",– Frank Sinatra
"“To love and be loved is to feel the sun from both sides.” – David Viscott




“If you aren’t going all the way, why go at all?” – Joe Namath
","– David Viscott
"
“Love is an irresistible desire to be irresistibly desired.” – Robert Frost,– Robert Frost
"“Those who believe in telekinetics, raise my hand.” – Kurt Vonnegut",– Kurt Vonnegut
“I only regret that I have but one life to give for my country.” – Nathan Hale,– Nathan Hale
“The person who reads too much and uses his brain too little will fall into lazy habits of thinking.” – Albert Einstein,– Albert Einstein
"“Better to have loved and lost, than to have never loved at all.” – St. Augustine",– St. Augustine
"
“Life would be tragic if it weren’t funny.” – Stephen Hawking
“Every child is an artist, the problem is staying an artist when you grow up.” – Pablo Picasso
“Have no fear of perfection, you’ll never reach it.” – Salvador Dali
“Life is not a problem to be solved, but a reality to be experienced.” – Søren Kierkegaard
“Curiosity about life in all of its aspects, I think, is still the secret of great creative people.” – Leo Burnett
“Imagination is the beginning of creation. You imagine what you desire, you will what you imagine, and at last, you create what you will.” – George Bernard Shaw
“Be yourself; everyone else is already taken.” – Oscar Wilde
",– Pablo Picasso
"“Every child is an artist, the problem is staying an artist when you grow up.” – Pablo Picasso",– Pablo Picasso
"“Have no fear of perfection, you’ll never reach it.” – Salvador Dali",– Salvador Dali
"“Life is not a problem to be solved, but a reality to be experienced.” – Søren Kierkegaard",– Søren Kierkegaard
"“Curiosity about life in all of its aspects, I think, is still the secret of great creative people.” – Leo Burnett",– Leo Burnett
"“Imagination is the beginning of creation. You imagine what you desire, you will what you imagine, and at last, you create what you will.” – George Bernard Shaw",– George Bernard Shaw
“The journey of a thousand miles begins with one step.” – Lao Tzu,– Lao Tzu
"“Imagination was given to man to compensate him for what he is not, and a sense of humor was provided to console him for what he is.” – Oscar Wilde",– Oscar Wilde
“What you do speaks so loudly that I cannot hear what you say.” – Ralph Waldo Emerson,– Ralph Waldo Emerson
"“Spread love everywhere you go: first of all in your own house. Give love to your children, to your wife or husband, to a next door neighbor. Let no one ever come to you without leaving better and happier. Be the living expression of God’s kindness; kindness in your face, kindness in your eyes, kindness in your smile, kindness in your warm greeting.” – Mother Theresa",– Mother Theresa
"
“Be happy for this moment. This moment is your life.” – Omar Khayyam
“You must be the change you wish to see in the world.” – Gandhi
“Strive not to be a success, but rather to be of value.” – Albert Einstein
“Keep your face to the sunshine and you can never see the shadow.” – Helen Keller
“The best way out is always through.” – Robern Frost
“The dream crossed twilight between birth and dying.” – T. S. Eliot

“People are just as happy as they make up their minds to be.” – Abraham Lincoln

“Don’t think. Thinking is the enemy of creativity. It’s self-conscious, and anything self-conscious is lousy. You can’t try to do things. You simply must do things.” – Ray Bradbury
“Creativity is just connecting things. When you ask creative people how they did something, they feel a little guilty because they didn’t really do it, the just saw something. It seemed obvious to them after a while.” – Steve Jobs

“Sing like no one’s listening, love like you’ve never been hurt, dance like nobody’s watching, and live like it’s heaven on earth.” – Mark Twain

“The power of imagination makes us infinite.” – John Muir
“Doing the best at this moment puts you in the best place for the next moment.” – Oprah Winfrey
“Originality is nothing but judicious imitation.” – Voltaire
“Life is made of ever so many partings welded together.” – Charles Dickens
“Love is like the wind, you can’t see it, but you can feel it.” – Nicholas Sparks
We hope our list of famous quotes took you out of your funk! Feel free to share your favorite with your friends or in the comments below.
",– Gandhi
“You must be the change you wish to see in the world.” – Gandhi,– Gandhi
"“Strive not to be a success, but rather to be of value.” – Albert Einstein",– Albert Einstein
“Keep your face to the sunshine and you can never see the shadow.” – Helen Keller,– Helen Keller
“The best way out is always through.” – Robern Frost,– Robern Frost
“The dream crossed twilight between birth and dying.” – T. S. Eliot,– T. S. Eliot
"“Don’t think. Thinking is the enemy of creativity. It’s self-conscious, and anything self-conscious is lousy. You can’t try to do things. You simply must do things.” – Ray Bradbury",– Ray Bradbury
"“Creativity is just connecting things. When you ask creative people how they did something, they feel a little guilty because they didn’t really do it, the just saw something. It seemed obvious to them after a while.” – Steve Jobs

“Sing like no one’s listening, love like you’ve never been hurt, dance like nobody’s watching, and live like it’s heaven on earth.” – Mark Twain
","– Steve Jobs
"
“The power of imagination makes us infinite.” – John Muir,– John Muir
“Doing the best at this moment puts you in the best place for the next moment.” – Oprah Winfrey,– Oprah Winfrey
“Originality is nothing but judicious imitation.” – Voltaire,– Voltaire
“Life is made of ever so many partings welded together.” – Charles Dickens,– Charles Dickens
